fips,Ridge_Preds,ENet_Preds,RF_Preds,XGB_Preds,Preds_Combined,Poor_Ridge_RPR20,Poor_ENet_RPR20,Poor_RF_RPR20,Poor_XGB_RPR20,Poor_Combined_RPR20,Poor_Ensemble_RPR20,Poor_Ridge_RPR15,Poor_ENet_RPR15,Poor_RF_RPR15,Poor_XGB_RPR15,Poor_Combined_RPR15,Poor_Ridge_RPR10,Poor_ENet_RPR10,Poor_RF_RPR10,Poor_XGB_RPR10,Poor_Combined_RPR10,Poor_Ridge_RPR05,Poor_ENet_RPR05,Poor_RF_RPR05,Poor_XGB_RPR05,Poor_Combined_RPR05,Poor_Ensemble_RPR15,Poor_Ensemble_RPR10,Poor_Ensemble_RPR05,mFIPS,district,locality,ed,population,objectid
10104105,6.806962419,6.890177704,6.663144478,6.77988248,6.78504177,0.140186916,0.093457944,0.299065421,0.196261682,0.158878505,0.182242991,0.074766355,0.046728972,0.08411215,0.08411215,0.056074766,0.037383178,0.018691589,0,0.028037383,0.018691589,0,0,0,0,0,0.072429907,0.021028037,0,1104105,1,1,4105,401,713
10105104,6.41842762,6.574119455,6.767561075,6.866386638,6.656623697,0.585365854,0.390243902,0.154471545,0.170731707,0.292682927,0.325203252,0.382113821,0.219512195,0.048780488,0.073170732,0.170731707,0.18699187,0.105691057,0,0.008130081,0.040650407,0.056910569,0.016260163,0,0,0,0.180894309,0.075203252,0.018292683,1105104,1,1,5104,471,702
10106104,7.343479434,7.087614774,7.163321303,7.117378515,7.177948506,0.031746032,0.047619048,0.015873016,0.047619048,0.031746032,0.035714286,0,0.031746032,0,0.015873016,0,0,0,0,0,0,0,0,0,0,0,0.011904762,0,0,1106104,1,1,6104,223,715
10106105,6.513620142,6.44482579,6.750079737,6.473927593,6.545613316,0.51,0.6,0.22,0.6,0.51,0.4825,0.21,0.32,0.03,0.41,0.2,0.06,0.07,0,0.13,0.05,0.02,0.02,0,0.04,0.01,0.2425,0.065,0.02,1106105,1,1,6105,381,719
10107105,7.00635245,7.032932497,6.97690702,6.82682903,6.960755249,0.042253521,0.028169014,0,0.169014085,0.056338028,0.059859155,0.014084507,0.014084507,0,0.084507042,0.014084507,0,0,0,0.028169014,0,0,0,0,0,0,0.028169014,0.007042254,0,1107105,1,1,7105,269,714
11200201,6.736998595,6.70169213,6.508249077,6.342804595,6.572436099,0.275,0.3,0.441666667,0.591666667,0.383333333,0.402083333,0.166666667,0.183333333,0.125,0.433333333,0.241666667,0.058333333,0.058333333,0,0.316666667,0.108333333,0.008333333,0.008333333,0,0.141666667,0.008333333,0.227083333,0.108333333,0.039583333,1200201,1,12,201,462,661
11200202,6.341912919,6.493420377,6.685390343,6.522868808,6.510898112,0.68902439,0.420731707,0.237804878,0.445121951,0.402439024,0.448170732,0.353658537,0.25,0.036585366,0.25,0.182926829,0.164634146,0.091463415,0.012195122,0.109756098,0.079268293,0.048780488,0.018292683,0,0.036585366,0.018292683,0.222560976,0.094512195,0.025914634,1200202,1,12,202,548,666
11200203,5.001894202,5.672258597,6.212211544,6.132568294,5.754733159,1,1,0.924242424,0.803030303,1,0.931818182,1,0.984848485,0.651515152,0.575757576,0.984848485,1,0.818181818,0.181818182,0.363636364,0.712121212,0.984848485,0.560606061,0,0.257575758,0.439393939,0.803030303,0.590909091,0.450757576,1200203,1,12,203,401,696
11200204,6.120433183,6.190224933,6.276742766,6.338569474,6.231492589,0.8125,0.7875,0.75,0.675,0.7625,0.75625,0.6125,0.55,0.625,0.425,0.5625,0.3125,0.3,0.225,0.2625,0.275,0.2,0.1625,0,0.05,0.0875,0.553125,0.275,0.103125,1200204,1,12,204,355,679
11200205,6.266395084,6.314161366,6.057109896,6.298032509,6.233924714,0.768,0.744,0.912,0.712,0.776,0.784,0.536,0.472,0.784,0.568,0.616,0.256,0.192,0.552,0.272,0.32,0.048,0.04,0.056,0.072,0.048,0.59,0.318,0.054,1200205,1,12,205,582,659
