fips,mean_internet_access,mFIPS,district,locality,ed,population,objectid
61100106,NA,6100106,6,11,106,436,72
61100107,NA,6100107,6,11,107,300,71
61100109,NA,6100109,6,11,109,431,76
61100110,NA,6100110,6,11,110,384,78
61101101,NA,6101101,6,11,1101,151,64
61101102,NA,6101102,6,11,1102,189,67
61101103,NA,6101103,6,11,1103,180,74
61101105,NA,6101105,6,11,1105,285,69
61101107,NA,6101107,6,11,1107,157,70
61102102,NA,6102102,6,11,2102,327,68
61200201,NA,6200201,6,12,201,141,16
61200202,NA,6200202,6,12,202,270,8
61200203,NA,6200203,6,12,203,22,62
61200204,NA,6200204,6,12,204,443,19
61200205,NA,6200205,6,12,205,683,20
61200206,NA,6200206,6,12,206,437,12
61200207,NA,6200207,6,12,207,601,24
61200208,NA,6200208,6,12,208,672,54
61200209,NA,6200209,6,12,209,689,43
61200210,NA,6200210,6,12,210,280,14
61200211,NA,6200211,6,12,211,366,26
61200212,NA,6200212,6,12,212,500,32
61200213,NA,6200213,6,12,213,141,30
61200214,NA,6200214,6,12,214,486,28
61200215,NA,6200215,6,12,215,516,29
61200216,NA,6200216,6,12,216,274,10
61200217,NA,6200217,6,12,217,10,1
61200256,NA,6200256,6,12,256,429,11
61200706,NA,6200706,6,12,706,390,55
61201202,NA,6201202,6,12,1202,539,56
61201203,NA,6201203,6,12,1203,13,17
61201204,NA,6201204,6,12,1204,455,34
61201207,NA,6201207,6,12,1207,331,25
61201208,NA,6201208,6,12,1208,423,22
61201209,NA,6201209,6,12,1209,326,44
61201211,NA,6201211,6,12,1211,334,48
61201212,NA,6201212,6,12,1212,345,33
61201214,NA,6201214,6,12,1214,438,9
61201216,NA,6201216,6,12,1216,496,21
61201256,NA,6201256,6,12,1256,566,41
61201706,NA,6201706,6,12,1706,391,13
61202202,NA,6202202,6,12,2202,383,53
61202207,NA,6202207,6,12,2207,377,39
61202209,NA,6202209,6,12,2209,534,42
61202210,NA,6202210,6,12,2210,403,46
61202211,NA,6202211,6,12,2211,357,37
61202212,NA,6202212,6,12,2212,765,23
61202214,NA,6202214,6,12,2214,628,51
61202216,NA,6202216,6,12,2216,387,49
61202706,NA,6202706,6,12,2706,422,40
61203202,NA,6203202,6,12,3202,699,52
61203207,NA,6203207,6,12,3207,438,38
61203210,NA,6203210,6,12,3210,344,45
61203211,NA,6203211,6,12,3211,303,36
61203212,NA,6203212,6,12,3212,374,18
61203216,NA,6203216,6,12,3216,423,50
61204202,NA,6204202,6,12,4202,149,47
61204211,NA,6204211,6,12,4211,537,35
61205202,NA,6205202,6,12,5202,337,57
61205211,NA,6205211,6,12,5211,320,27
61206202,NA,6206202,6,12,6202,417,58
61206211,NA,6206211,6,12,6211,391,15
61207202,NA,6207202,6,12,7202,337,59
61208202,NA,6208202,6,12,8202,244,60
61209202,NA,6209202,6,12,9202,579,61
61210202,NA,6210202,6,12,10202,404,31
