fips,mean_internet_access,mFIPS,district,locality,ed,population,objectid
21202205,NA,2202205,2,12,2205,404,575
21202206,NA,2202206,2,12,2206,630,577
21202207,NA,2202207,2,12,2207,57,592
21202208,NA,2202208,2,12,2208,644,581
21202213,NA,2202213,2,12,2213,817,555
21202256,NA,2202256,2,12,2256,384,556
21202701,NA,2202701,2,12,2701,553,554
21202708,NA,2202708,2,12,2708,447,598
21202710,NA,2202710,2,12,2710,295,544
21203201,NA,2203201,2,12,3201,196,588
21203204,NA,2203204,2,12,3204,525,602
21203205,NA,2203205,2,12,3205,484,576
21203207,NA,2203207,2,12,3207,263,591
21203213,NA,2203213,2,12,3213,304,605
21203256,NA,2203256,2,12,3256,469,583
21203710,NA,2203710,2,12,3710,336,595
21204201,NA,2204201,2,12,4201,7,558
21204204,NA,2204204,2,12,4204,404,603
21204206,NA,2204206,2,12,4206,505,580
21204213,NA,2204213,2,12,4213,544,604
21204256,NA,2204256,2,12,4256,424,582
21204710,NA,2204710,2,12,4710,272,594
21205201,NA,2205201,2,12,5201,470,590
21205204,NA,2205204,2,12,5204,237,600
21205206,NA,2205206,2,12,5206,280,579
21205256,NA,2205256,2,12,5256,322,571
21205710,NA,2205710,2,12,5710,369,596
21206204,NA,2206204,2,12,6204,172,601
21206256,NA,2206256,2,12,6256,364,585
21206710,NA,2206710,2,12,6710,482,597
21207256,NA,2207256,2,12,7256,495,584
21208256,NA,2208256,2,12,8256,544,586
30300201,NA,3100201,3,03,201,47,425
30300202,NA,3100202,3,03,202,161,422
30300203,NA,3100203,3,03,203,179,443
30300204,NA,3100204,3,03,204,73,423
30300205,NA,3100205,3,03,205,119,426
30300206,NA,3100206,3,03,206,70,440
30300207,NA,3100207,3,03,207,198,444
30300208,NA,3100208,3,03,208,216,447
30300209,NA,3100209,3,03,209,169,442
30300210,NA,3100210,3,03,210,125,441
30300211,NA,3100211,3,03,211,383,433
30300212,NA,3100212,3,03,212,148,438
30300213,NA,3100213,3,03,213,326,446
30300214,NA,3100214,3,03,214,167,445
30300221,NA,3100221,3,03,221,75,428
30300222,NA,3100222,3,03,222,130,431
30300225,NA,3100225,3,03,225,714,491
30300262,NA,3100262,3,03,262,466,432
30300263,NA,3100263,3,03,263,227,434
30300264,NA,3100264,3,03,264,485,439
30300272,NA,3100272,3,03,272,165,430
30300705,NA,3100705,3,03,705,166,424
30300714,NA,3100714,3,03,714,363,435
30300722,NA,3100722,3,03,722,238,429
30301214,NA,3101214,3,03,1214,214,499
30301225,NA,3101225,3,03,1225,394,508
30301226,NA,3101226,3,03,1226,340,494
30301264,NA,3101264,3,03,1264,441,437
30301714,NA,3101714,3,03,1714,334,436
30301914,NA,3101914,3,03,1914,160,489
30302225,NA,3102225,3,03,2225,857,492
30302226,NA,3102226,3,03,2226,202,507
30302264,NA,3102264,3,03,2264,313,510
30302914,NA,3102914,3,03,2914,498,497
30303225,NA,3103225,3,03,3225,642,496
30303914,NA,3103914,3,03,3914,139,509
30304225,NA,3104225,3,03,4225,1014,495
30304914,NA,3104914,3,03,4914,98,500
30305225,NA,3105225,3,03,5225,386,493
30305914,NA,3105914,3,03,5914,216,498
30306914,NA,3106914,3,03,6914,404,490
30400101,NA,3100101,3,04,101,390,459
30400102,NA,3100102,3,04,102,294,461
30400103,NA,3100103,3,04,103,141,456
30400104,NA,3100104,3,04,104,149,465
30400105,NA,3100105,3,04,105,31,487
30400106,NA,3100106,3,04,106,29,475
30400107,NA,3100107,3,04,107,320,455
